fund_name,yahoo_ticker,aum_total_assets,inception_date,ytd_return,annualized_ytd_return
BlackRock ICS US Treasury Fund,0P0000ZECB,39166296064.0,2008-09-29,0.06752557102212142,0.039514651393798284
MORGAN STANLEY LIQUIDITY FUNDS - US DOLLAR TREASURY LIQUIDITY FUND,0P0001EC37,22546982912.0,2013-06-14,0.0658275966008115,0.0385337216382049
Legg Mason Western Asset US Government Liquidity Fund,0P00008MQZ,2113729792.0,2004-02-27,0.05800445543555521,0.03400600807987475
HSBC US Government Liquidity Fund,0P0001HDTT,60040982528.0,2019-05-15,0.0713408462888554,0.04171644512093331
PICTET - SOVEREIGN SHORT-TERM MONEY MARKET USD,0P0000G7Q6,2690964480.0,2024-04-30,0.06657130287178781,0.038898128178246116
SPIKO US T-BILLS MONEY MARKET FUND,SPIKO:USTBL,,,0.0634786477732634,0.03711340615498937
