day,0P00000CFB.F,0P0001T861.F,0P0001T860,0P0001S9RE.F,0P0000ZECB,0P0001TA88.F,0P0000J38X,0P0001SXCD.F,0P0000Z0F5,0P0001SELQ.F,0P0001ITDV,0P000025G2,0P0001DIYP.F,0P00008MQZ,0P0001HDTT,0P0001SWVV.F,0P0000G7Q6
2025-04-30,1.0082956233670872,,1.0125321749837344,1.0072514250180447,1.0139640609696117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0080186224023262,1.012111671401853,1.014717825026797,1.008055424148126,1.0130931514146946
2025-05-01,,,,,1.014083000446538,,1.0,,1.0,,1.0,,,1.0122764919671348,1.0148389496321626,,
2025-05-02,1.0084088323223583,,1.0128040974594241,1.007400676013125,1.014439818877317,1.0,1.0,1.0,1.0,1.0,1.0,,1.0081154416821068,1.0125236599544298,1.0152107763994427,1.0082248409375212,1.0133129387328978
2025-05-05,1.0085841480899624,1.0121765279241923,1.0130955918679894,1.0074510177306337,1.0145587583542433,1.0,1.0,1.0,1.0,1.0,1.0,,1.0081542166806023,1.0126884805197116,1.015340457040762,1.0082796241318346,1.0135867220277148
2025-05-06,1.0086419542268998,1.0122353144670995,1.013221940854777,1.0075004723694199,1.0146776978311696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0082316484611349,1.012770827941725,1.0154614785613572,1.008336415087196,1.0137281341235118
2025-05-07,1.008700645797007,,1.0133287179086892,1.007549853084979,1.0147958006126412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0083091984581263,1.0128532382243658,1.015582603166723,1.008392249965868,1.0138686733051374
2025-05-08,,1.0098039124022076,,1.0075993077237648,1.014913903394113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0084640620191916,1.0129356485070067,1.0157122838080421,1.0084490409212297,1.013995370562042
2025-05-09,1.008817586220636,,1.0135522316983319,1.0077465627917195,1.0152691127951716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0132652267769426,1.0160841105753222,1.008617406026266,
2025-05-12,1.008993660930957,1.0125686329966646,1.0138727944805759,1.0077949825053292,1.0153872155766435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0085028370176872,1.013347574198956,1.016205235180688,1.0086741969816277,1.014444859009397
2025-05-13,1.009051403822668,1.012607901939839,1.013969959283431,1.007844437144115,1.0155061550535698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0085996562974675,1.0135123947642377,1.0163262567012832,1.0087300318602996,1.0145805348120667
2025-05-14,1.009109336450058,1.0126568712469526,1.0140476679636643,1.0078928568577248,1.0156242578350414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0086384312959633,1.0135947421862512,1.0164559373426025,1.0087867272079922,1.0147096637584492
2025-05-15,1.0091672058322219,1.0127156577898597,1.0141448327665195,1.0079413504945611,1.0157431973119677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0088126823562762,1.013677152468892,1.0165770619479682,1.0088425620866641,1.0148248884290987
2025-05-16,1.009225011969159,,1.014290522065675,1.0080876445605664,1.0161000157427469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.008851457354772,1.014006730738828,1.0169488887152482,1.0090109271917007,1.0149499022086723
2025-05-19,1.0094011499247066,1.0129314032336105,1.01462081290923,1.008136064274176,1.0162181185242185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0088708448540198,1.0140891410214687,1.0170699102358436,1.0090667620703726,1.015293955094302
2025-05-20,1.0094599679852665,1.0129901897765177,1.0147277057733959,1.0081855189129618,1.0163370580011448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0089288891353045,1.0141714884434823,1.0171995908771627,1.009123553025734,1.0154043163859956
2025-05-21,1.00951783736743,1.0130392759554858,1.0148443266988727,1.0082339386265715,1.0164551607826167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0089676641338001,1.014336309008764,1.0173207154825286,1.0091793879044062,1.0155293301655695
2025-05-22,1.0095756435043675,1.0131078797341866,1.0150192001819611,1.008282358340181,1.0165732635640883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009142033410572,1.014418719291405,1.0174417370031237,1.0092351271754092,1.0157213712833184
2025-05-23,1.0096342085840215,,1.0151162491745624,1.0084276914042367,1.0170473480808846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0092000776918568,1.0148306449833542,1.0179433474964936,1.0094035878881145,1.0158586682123067
2025-05-26,1.0098105995204747,1.0133333255418764,,1.0084761850410733,,1.0,,1.0,,1.0,,1.0,1.0092388526903524,,,1.0094593271591175,
2025-05-27,1.009869038109676,1.0133922289566382,1.0155243645086043,1.0085246047546828,1.0171663519189997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0092968969716372,1.014913055265995,1.0180643690170887,1.0095151620377896,1.0162852738381638
2025-05-28,1.009927729679783,,1.01567005380776,1.0085730244682924,1.0172861280913805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0093550594693808,1.014995465548636,1.018185390537684,1.0095709969164615,1.0164144027845463
2025-05-29,,1.0098039124022076,,1.0086215181051288,1.0174050675683068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0150778129706493,1.0183151742637737,1.0096267361874645,
2025-05-30,1.0100440376511481,,1.0158837237258382,1.008765890167235,1.0177636237511838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0099554808637698,1.0154073912405852,1.0186870010310538,1.0097931891391219,1.0166857543898853
2025-06-02,1.0102203020971485,1.0137255474862032,1.0161946742570251,1.0088143098808446,1.01788256322811,1.0,1.0,1.0,1.0,1.0,1.0,,1.0101298501405416,1.015572211805867,1.0188080225516492,1.0098499800944833,1.0169872838851564
2025-06-03,1.0102791834029348,1.0137843340291104,1.016320907433559,1.008862729594454,1.0180015027050364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0101878944218263,1.0156545592278805,1.0189378062777388,1.0099058149731552,1.0170943405732003
